provinsi,kode_kota_kabupaten,nama_kota_kabupaten,pdrb_adhk,satuan
JAWA BARAT,3204,KAB. BANDUNG,64702,MILIAR RUPIAH
JAWA BARAT,3217,KAB. BANDUNG BARAT,25486,MILIAR RUPIAH
JAWA BARAT,3216,KAB. BEKASI,20595,MILIAR RUPIAH
JAWA BARAT,3201,KAB. BOGOR,124487,MILIAR RUPIAH
JAWA BARAT,3207,KAB. CIAMIS,1778,MILIAR RUPIAH
JAWA BARAT,3203,KAB. CIANJUR,25352,MILIAR RUPIAH
JAWA BARAT,3209,KAB. CIREBON,27596,MILIAR RUPIAH
JAWA BARAT,3205,KAB. GARUT,31919,MILIAR RUPIAH
JAWA BARAT,3212,KAB. INDRAMAYU,56663,MILIAR RUPIAH
JAWA BARAT,3215,KAB. KARAWANG,132454,MILIAR RUPIAH
JAWA BARAT,3208,KAB. KUNINGAN,13176,MILIAR RUPIAH
JAWA BARAT,3210,KAB. MAJALENGKA,16591,MILIAR RUPIAH
JAWA BARAT,3218,KAB. PANGANDARAN,6271,MILIAR RUPIAH
JAWA BARAT,3214,KAB. PURWAKARTA,37899,MILIAR RUPIAH
JAWA BARAT,3213,KAB. SUBANG,23697,MILIAR RUPIAH
JAWA BARAT,3202,KAB. SUKABUMI,37265,MILIAR RUPIAH
JAWA BARAT,3211,KAB. SUMEDANG,1895,MILIAR RUPIAH
JAWA BARAT,3206,KAB. TASIKMALAYA,19662,MILIAR RUPIAH
JAWA BARAT,3273,KOTA BANDUNG,14958,MILIAR RUPIAH
JAWA BARAT,3279,KOTA BANJAR,2624,MILIAR RUPIAH
JAWA BARAT,3275,KOTA BEKASI,55456,MILIAR RUPIAH
JAWA BARAT,3271,KOTA BOGOR,25299,MILIAR RUPIAH
JAWA BARAT,3277,KOTA CIMAHI,17876,MILIAR RUPIAH
JAWA BARAT,3274,KOTA CIREBON,13269,MILIAR RUPIAH
JAWA BARAT,3276,KOTA DEPOK,37529,MILIAR RUPIAH
JAWA BARAT,3272,KOTA SUKABUMI,6985,MILIAR RUPIAH
JAWA BARAT,3278,KOTA TASIKMALAYA,12371,MILIAR RUPIAH
