provinsi,kode_kota_kabupaten,nama_kota_kabupaten,pdrb_adhk,satuan
JAWA BARAT,3204,KAB. BANDUNG,73051,MILIAR RUPIAH
JAWA BARAT,3217,KAB. BANDUNG BARAT,2833,MILIAR RUPIAH
JAWA BARAT,3216,KAB. BEKASI,228726,MILIAR RUPIAH
JAWA BARAT,3201,KAB. BOGOR,139952,MILIAR RUPIAH
JAWA BARAT,3207,KAB. CIAMIS,19827,MILIAR RUPIAH
JAWA BARAT,3203,KAB. CIANJUR,28524,MILIAR RUPIAH
JAWA BARAT,3209,KAB. CIREBON,30621,MILIAR RUPIAH
JAWA BARAT,3205,KAB. GARUT,35457,MILIAR RUPIAH
JAWA BARAT,3212,KAB. INDRAMAYU,57527,MILIAR RUPIAH
JAWA BARAT,3215,KAB. KARAWANG,148885,MILIAR RUPIAH
JAWA BARAT,3208,KAB. KUNINGAN,14867,MILIAR RUPIAH
JAWA BARAT,3210,KAB. MAJALENGKA,18789,MILIAR RUPIAH
JAWA BARAT,3218,KAB. PANGANDARAN,694,MILIAR RUPIAH
JAWA BARAT,3214,KAB. PURWAKARTA,42229,MILIAR RUPIAH
JAWA BARAT,3213,KAB. SUBANG,26251,MILIAR RUPIAH
JAWA BARAT,3202,KAB. SUKABUMI,41362,MILIAR RUPIAH
JAWA BARAT,3211,KAB. SUMEDANG,21277,MILIAR RUPIAH
JAWA BARAT,3206,KAB. TASIKMALAYA,22063,MILIAR RUPIAH
JAWA BARAT,3273,KOTA BANDUNG,172852,MILIAR RUPIAH
JAWA BARAT,3279,KOTA BANJAR,292,MILIAR RUPIAH
JAWA BARAT,3275,KOTA BEKASI,62202,MILIAR RUPIAH
JAWA BARAT,3271,KOTA BOGOR,28655,MILIAR RUPIAH
JAWA BARAT,3277,KOTA CIMAHI,19894,MILIAR RUPIAH
JAWA BARAT,3274,KOTA CIREBON,14877,MILIAR RUPIAH
JAWA BARAT,3276,KOTA DEPOK,42939,MILIAR RUPIAH
JAWA BARAT,3272,KOTA SUKABUMI,778,MILIAR RUPIAH
JAWA BARAT,3278,KOTA TASIKMALAYA,14028,MILIAR RUPIAH
