provinsi,kode_kota_kabupaten,nama_kota_kabupaten,pdrb_adhk,satuan
JAWA BARAT,3204,KAB. BANDUNG,611,MILIAR RUPIAH
JAWA BARAT,3217,KAB. BANDUNG BARAT,24265,MILIAR RUPIAH
JAWA BARAT,3216,KAB. BEKASI,197164,MILIAR RUPIAH
JAWA BARAT,3201,KAB. BOGOR,11734,MILIAR RUPIAH
JAWA BARAT,3207,KAB. CIAMIS,16839,MILIAR RUPIAH
JAWA BARAT,3203,KAB. CIANJUR,24042,MILIAR RUPIAH
JAWA BARAT,3209,KAB. CIREBON,26313,MILIAR RUPIAH
JAWA BARAT,3205,KAB. GARUT,30542,MILIAR RUPIAH
JAWA BARAT,3212,KAB. INDRAMAYU,55464,MILIAR RUPIAH
JAWA BARAT,3215,KAB. KARAWANG,126749,MILIAR RUPIAH
JAWA BARAT,3208,KAB. KUNINGAN,12385,MILIAR RUPIAH
JAWA BARAT,3210,KAB. MAJALENGKA,15751,MILIAR RUPIAH
JAWA BARAT,3218,KAB. PANGANDARAN,5974,MILIAR RUPIAH
JAWA BARAT,3214,KAB. PURWAKARTA,36177,MILIAR RUPIAH
JAWA BARAT,3213,KAB. SUBANG,22506,MILIAR RUPIAH
JAWA BARAT,3202,KAB. SUKABUMI,35521,MILIAR RUPIAH
JAWA BARAT,3211,KAB. SUMEDANG,18005,MILIAR RUPIAH
JAWA BARAT,3206,KAB. TASIKMALAYA,1885,MILIAR RUPIAH
JAWA BARAT,3273,KOTA BANDUNG,138961,MILIAR RUPIAH
JAWA BARAT,3279,KOTA BANJAR,2492,MILIAR RUPIAH
JAWA BARAT,3275,KOTA BEKASI,52534,MILIAR RUPIAH
JAWA BARAT,3271,KOTA BOGOR,23835,MILIAR RUPIAH
JAWA BARAT,3277,KOTA CIMAHI,16955,MILIAR RUPIAH
JAWA BARAT,3274,KOTA CIREBON,12541,MILIAR RUPIAH
JAWA BARAT,3276,KOTA DEPOK,35193,MILIAR RUPIAH
JAWA BARAT,3272,KOTA SUKABUMI,6644,MILIAR RUPIAH
JAWA BARAT,3278,KOTA TASIKMALAYA,11637,MILIAR RUPIAH
